onset	duration	trial_type
1	7	Literal
15.399	1.377	Pregunta
17.776	7	Literal
33.253	2.408	Pregunta
36.661	7	Literal
52.057	4	Pregunta
57.057	7	Literal
73.772	1.502	Pregunta
76.274	7	Literal
93.11	2.283	Pregunta
96.393	7	Literal
109.455	0.439	Pregunta
110.894	7	Familiar
124.197	0.377	Pregunta
125.574	7	Novedoso
140.347	1.876	Pregunta
143.223	7	Novedoso
157.741	1.564	Pregunta
160.305	7	Novedoso
177.089	1.283	Pregunta
179.372	7	Literal
193.072	1.688	Pregunta
195.76	7	Familiar
212.292	2.22	Pregunta
215.512	7	Literal
232.438	0.877	Pregunta
234.315	7	Novedoso
248.491	1.314	Pregunta
250.805	7	Familiar
266.102	1.658	Pregunta
268.76	7	Familiar
282.12	1.033	Pregunta
284.153	7	Literal
299.352	2.251	Pregunta
302.603	7	Literal
317.096	1.376	Pregunta
319.472	7	Literal
335.233	1.22	Pregunta
337.453	7	Literal
352.405	1.97	Pregunta
355.375	7	Literal
369.398	0.439	Pregunta
370.837	7	Literal
385.877	0.564	Pregunta
387.441	7	Literal
404.099	0.689	Pregunta
405.788	7	Literal
422.612	3.158	Pregunta
426.77	7	Literal
443.533	0.97	Pregunta
445.503	7	Literal
459.809	2.377	Pregunta
