onset	duration	trial_type
12	1	mental
15	1	mental
18	1	mental
21	1	mental
24	1	mental
27	1	mental
30	1	mental
33	1	mental
36	1	mental
39	1	mental
54	1	pseudo
57	1	pseudo
60	1	pseudo
63	1	pseudo
66	1	pseudo
69	1	pseudo
72	1	pseudo
75	1	pseudo
78	1	pseudo
81	1	pseudo
96	1	motor
99	1	motor
102	1	motor
105	1	motor
108	1	motor
111	1	motor
114	1	motor
117	1	motor
120	1	motor
123	1	motor
138	1	pseudo
141	1	pseudo
144	1	pseudo
147	1	pseudo
150	1	pseudo
153	1	pseudo
156	1	pseudo
159	1	pseudo
162	1	pseudo
165	1	pseudo
180	1	symbol
183	1	symbol
186	1	symbol
189	1	symbol
192	1	symbol
195	1	symbol
198	1	symbol
201	1	symbol
204	1	symbol
207	1	symbol
222	1	mental
225	1	mental
228	1	mental
231	1	mental
234	1	mental
237	1	mental
240	1	mental
243	1	mental
246	1	mental
249	1	mental
264	1	symbol
267	1	symbol
270	1	symbol
273	1	symbol
276	1	symbol
279	1	symbol
282	1	symbol
285	1	symbol
288	1	symbol
291	1	symbol
306	1	motor
309	1	motor
312	1	motor
315	1	motor
318	1	motor
321	1	motor
324	1	motor
327	1	motor
330	1	motor
333	1	motor
